;Tipo;Distrito;Cuartos;Vacantes;Suites;Area;Valor;Mantenimiento;Impuesto
117;Departamento;Chorrillos;3;1;1;100;5500.0;1300.0;220.0
118;Departamento;Ate;4;2;3;320;5500.0;2700.0;800.0
119;Departamento;Magdalena del Mar;2;1;0;50;1100.0;;
120;Departamento;Jesús María;2;1;1;75;1000.0;1040.0;112.0
121;Departamento;Comas;2;0;2;52;10000.0;3689.0;393.0
122;Departamento;Rímac;4;4;4;380;40000.0;4700.0;1500.0
123;Departamento;Jesús María;3;2;1;104;2200.0;740.0;258.0
124;Departamento;Ate;2;1;1;72;2600.0;1700.0;237.0
125;Departamento;San Luis;2;1;0;75;1200.0;330.0;75.0
126;Departamento;Chorrillos;4;1;1;190;5500.0;1720.0;350.0
127;Habitación;Lurín;0;0;0;20;700.0;500.0;28.0
128;Departamento;Comas;4;6;1;700;65000.0;8860.0;5699.0
129;Departamento;Santa Anita;2;0;0;56;899.0;402.0;135.0
130;Departamento;Callao;2;1;1;71;1200.0;600.0;54.0
131;Departamento;Pueblo Libre;3;1;2;105;3600.0;1100.0;281.0
132;Departamento;San Borja;3;1;1;500;15000.0;2580.0;366.0
133;Departamento;San Miguel;3;0;0;87;1600.0;650.0;100.0
134;Departamento;Chorrillos;1;0;0;35;1500.0;470.0;50.0
135;Departamento;Ate;1;1;1;65;2350.0;;
136;Departamento;Comas;3;3;1;220;22000.0;4000.0;1200.0
137;Departamento;San Borja;3;0;0;100;3300.0;850.0;90.0
138;Departamento;Ate;3;1;2;93;2500.0;1100.0;
139;Departamento;Santa Rosa;2;2;0;78;800.0;915.0;55.0
140;Departamento;Ate;2;1;1;85;2500.0;1573.0;197.0
141;Departamento;Rímac;2;1;1;115;7500.0;980.0;270.0
142;Departamento;Chorrillos;2;1;1;70;3700.0;1133.0;147.0
143;Departamento;Callao;2;1;1;95;1600.0;650.0;
144;Departamento;Ate;4;4;4;392;30000.0;7000.0;3000.0
145;Departamento;Lince;2;0;0;60;1200.0;570.0;
146;Departamento;Villa El Salvador;1;0;0;40;1900.0;430.0;54.0
147;Cochera;San Miguel;0;0;0;0;380.0;;
148;Departamento;Santa María del Mar;3;1;1;61;1400.0;498.0;
149;Departamento;San Borja;3;2;1;250;7000.0;1500.0;434.0
150;Flat;San Borja;1;1;0;63;3600.0;1215.0;
151;Flat;Rímac;1;0;1;50;4500.0;1300.0;150.0
152;Departamento;Comas;3;2;1;200;15000.0;1500.0;572.0
153;Departamento;San Borja;3;1;0;140;3700.0;1347.0;
154;Departamento;San Borja;2;0;0;50;2500.0;750.0;760.0
155;Casa;Lurín;3;2;1;135;3000.0;;
156;Departamento;San Miguel;3;1;1;78;2500.0;730.0;178.0
157;Habitación;Pachacámac;0;0;0;28;700.0;400.0;16.0
158;Departamento;Pueblo Libre;3;1;1;75;4000.0;1250.0;309.0
159;Departamento;Jesús María;3;2;1;102;1850.0;882.0;
160;Departamento;San Miguel;1;0;0;65;1200.0;320.0;
161;Departamento;Ate;2;1;0;60;1500.0;1266.0;233.0
162;Departamento;San Borja;4;1;2;210;13000.0;2200.0;650.0
163;Departamento;San Luis;3;2;3;158;2400.0;1265.0;
164;Departamento;Ate;2;1;1;83;2000.0;1548.0;260.0
165;Departamento;Punta Hermosa;5;2;1;400;9000.0;3000.0;
166;Departamento;Ate;3;1;1;84;1900.0;1103.0;212.0
167;Departamento;Callao;3;1;1;77;1600.0;850.0;165.0
168;Departamento;Punta Hermosa;4;4;4;510;25000.0;6600.0;
169;Departamento;San Miguel;3;0;0;75;1800.0;350.0;
170;Departamento;Comas;3;1;1;126;5500.0;1400.0;2000.0
171;Casa;San Borja;2;0;0;40;950.0;;50.0
172;Departamento;Rímac;4;2;2;250;17500.0;4990.0;620.0
173;Departamento;San Borja;4;2;2;436;17000.0;3900.0;1000.0
174;Departamento;Callao;3;3;2;173;3200.0;1800.0;
175;Departamento;San Miguel;2;1;1;71;1500.0;600.0;
176;Departamento;Ate;2;1;1;81;1900.0;1200.0;121.0
177;Casa en condominio;Ate;4;2;4;595;30000.0;2500.0;2510.0
178;Departamento;Rímac;3;1;0;87;3800.0;970.0;273.0
179;Casa en condominio;Jesús María;4;4;4;267;6500.0;700.0;3308.0
180;Departamento;Punta Hermosa;4;1;2;288;7000.0;1870.0;582.0
181;Departamento;Jesús María;1;1;1;102;1900.0;688.0;
182;Departamento;Rímac;2;1;0;70;4200.0;1100.0;200.0
183;Departamento;Puente Piedra;1;0;0;46;1000.0;;
184;Departamento;Barranco;3;0;0;65;1200.0;350.0;16.0
185;Departamento;Ate;3;3;2;169;6500.0;1886.0;450.0
186;Habitación;San Borja;1;0;0;23;1000.0;562.0;
187;Departamento;Punta Hermosa;3;1;1;90;2400.0;1311.0;
188;Departamento;San Miguel;2;0;0;50;1800.0;347.0;25.0
189;Departamento;Santa Rosa;1;0;0;39;800.0;;
190;Departamento;Comas;3;1;1;140;6500.0;1800.0;506.0
191;Departamento;Lince;2;0;0;60;800.0;380.0;
192;Departamento;Comas;4;1;1;170;12000.0;1210.0;4222.0
193;Casa;San Miguel;4;1;1;191;4000.0;300.0;
194;Departamento;Pachacámac;1;0;0;35;1350.0;420.0;24.0
195;Departamento;San Miguel;2;0;0;63;1400.0;440.0;61.0
196;Casa en condominio;Punta Hermosa;3;2;1;250;5500.0;750.0;500.0
197;Departamento;San Borja;3;1;0;112;3800.0;1123.0;286.0
198;Departamento;Rímac;3;0;1;85;8500.0;;1719.0
199;Departamento;San Miguel;3;1;0;129;1800.0;850.0;116.0
200;Departamento;Ate;4;3;3;160;8600.0;2300.0;250.0
201;Departamento;Jesús María;2;1;1;93;1400.0;1300.0;
202;Departamento;Callao;3;1;1;93;1800.0;650.0;95.0
203;Departamento;Ate;1;1;1;60;2200.0;1600.0;350.0
204;Departamento;San Luis;2;2;0;55;790.0;350.0;
205;Habitación;Pachacámac;1;0;0;33;990.0;463.0;25.0
206;Departamento;San Borja;2;0;0;54;1800.0;590.0;
207;Flat;Ventanilla;1;1;1;55;3000.0;1865.0;337.0
208;Departamento;Lurín;2;1;1;70;3300.0;1365.0;180.0
209;Departamento;San Borja;5;1;3;390;10000.0;1000.0;1000.0
210;Departamento;San Luis;2;1;0;53;1300.0;492.0;16.0
211;Departamento;Santa María del Mar;2;0;0;70;800.0;;
212;Departamento;Chorrillos;1;0;0;35;1000.0;293.0;86.0
213;Departamento;San Miguel;3;1;0;164;3500.0;1310.0;257.0
214;Departamento;Lince;2;1;1;60;1200.0;524.0;13.0
215;Departamento;Bellavista;2;1;0;50;850.0;280.0;12.0
216;Departamento;Chorrillos;2;1;1;79;4315.0;1110.0;187.0
217;Departamento;Jesús María;2;1;1;80;1600.0;615.0;3.0
218;Departamento;San Miguel;1;0;0;36;1300.0;295.0;24.0
219;Departamento;Miraflores;4;4;3;190;5700.0;1069.0;808.0
220;Departamento;Callao;3;1;0;84;1500.0;900.0;
221;Departamento;Punta Negra;2;0;0;50;1000.0;600.0;
222;Habitación;San Borja;1;0;0;26;1400.0;370.0;21.0
223;Casa en condominio;Ate;4;4;4;1000;30000.0;2695.0;23715.0
224;Departamento;Chaclacayo;3;1;0;83;1500.0;440.0;132.0
225;Departamento;Santa Rosa;2;0;0;90;1000.0;150.0;
226;Departamento;Breña;1;0;0;57;3990.0;860.0;100.0
227;Departamento;San Luis;3;1;0;95;2500.0;600.0;80.0
228;Casa de villa;Pachacámac;2;1;2;115;1600.0;1.0;60.0
229;Departamento;Rímac;4;2;2;200;11000.0;2900.0;580.0
230;Departamento;Ate;2;1;1;63;1900.0;824.0;
231;Departamento;La Perla;2;1;1;100;3900.0;1300.0;320.0
232;Departamento;Comas;3;2;1;165;7500.0;2200.0;532.0
233;Departamento;Comas;3;2;2;160;6000.0;3500.0;4600.0
234;Departamento;Villa El Salvador;1;1;0;48;2100.0;580.0;70.0
235;Departamento;Rímac;2;1;1;87;4800.0;1300.0;361.0
236;Casa de villa;Santiago de Surco;1;0;1;40;800.0;;
237;Departamento;Ate;3;1;1;105;2500.0;1400.0;1500.0
238;Casa en condominio;Callao;2;1;0;163;1800.0;92.0;46.0
239;Habitación;San Borja;1;0;0;30;1300.0;370.0;30.0
240;Departamento;Ate;3;1;1;80;3500.0;1410.0;270.0
241;Departamento;Chorrillos;3;1;1;102;5100.0;1300.0;
242;Departamento;La Perla;3;0;1;120;2700.0;880.0;238.0
243;Departamento;Breña;2;2;1;112;4500.0;1300.0;
244;Departamento;Mi Perú;2;0;0;60;900.0;160.0;25.0
245;Departamento;Pueblo Libre;1;1;0;75;2800.0;800.0;210.0
246;Departamento;Comas;3;1;1;125;7000.0;2100.0;463.0
247;Departamento;Santa Rosa;2;0;0;53;1400.0;460.0;12.0
248;Departamento;Jesús María;3;3;1;132;2800.0;879.0;
249;Loft;Ate;1;1;1;78;2700.0;1370.0;188.0
250;Departamento;Ate;2;2;1;86;3500.0;1307.0;
251;Departamento;Jesús María;2;1;1;80;1700.0;690.0;150.0
252;Departamento;Jesús María;4;2;2;200;3600.0;1177.0;320.0
253;Departamento;Ate;2;1;1;77;2500.0;830.0;156.0
254;Departamento;Santa Rosa;1;1;0;63;700.0;625.0;36.0
255;Casa;Mi Perú;5;4;2;450;7000.0;;500.0
256;Departamento;Ate;4;2;2;149;4500.0;2130.0;
257;Departamento;Jesús María;3;2;2;106;2500.0;780.0;248.0
258;Departamento;Mi Perú;2;1;0;48;1100.0;400.0;
259;Departamento;Comas;4;1;2;250;12000.0;2300.0;1050.0
260;Departamento;La Perla;2;1;1;68;2700.0;850.0;186.0
261;Departamento;Ate;2;1;1;75;1400.0;1280.0;
262;Departamento;Comas;2;1;1;97;7000.0;4000.0;4725.0
263;Casa en condominio;Villa El Salvador;2;2;1;90;1700.0;618.0;338.0
264;Departamento;Comas;3;0;0;70;900.0;200.0;30.0
265;Habitación;Rímac;1;0;0;30;1700.0;560.0;62.0
266;Departamento;San Borja;4;2;1;279;3150.0;2025.0;370.0
267;Casa;San Juan de Miraflores;2;1;0;59;1200.0;170.0;
268;Cochera;Pachacámac;0;1;0;0;250.0;;85.0
269;Departamento;Punta Hermosa;5;3;2;713;30000.0;3800.0;
270;Departamento;Comas;2;1;0;70;950.0;530.0;30.0
271;Casa;Lince;3;0;0;200;2100.0;;
272;Departamento;Jesús María;4;2;1;400;3500.0;800.0;500.0
273;Departamento;Jesús María;2;1;1;89;1800.0;884.0;170.0
274;Departamento;San Luis;1;1;1;120;1000.0;985.0;150.0
275;Departamento;Jesús María;4;3;2;181;3500.0;1080.0;423.0
276;Departamento;San Miguel;2;1;1;70;1500.0;890.0;68.0
277;Casa en condominio;Ate;5;6;5;640;13800.0;980.0;1800.0
278;Departamento;Bellavista;2;0;0;70;1000.0;32.0;
279;Departamento;San Isidro;2;0;0;40;600.0;415.0;
280;Departamento;Jesús María;2;0;0;75;1700.0;659.0;
281;Departamento;San Borja;2;1;1;81;2900.0;893.0;190.0
282;Casa;Chaclacayo;2;0;0;51;1000.0;;
283;Casa en condominio;Ate;5;3;5;1000;20000.0;1800.0;1800.0
284;Departamento;Lince;2;0;1;58;1000.0;;
285;Flat;Breña;1;1;0;55;2000.0;1232.0;176.0
286;Departamento;Chorrillos;3;0;0;90;900.0;330.0;15.0
287;Departamento;Ventanilla;3;3;1;124;1700.0;1400.0;
288;Departamento;Jesús María;5;3;4;430;6000.0;899.0;750.0
289;Departamento;Comas;2;0;1;75;5200.0;476.0;120.0
290;Departamento;Punta Hermosa;5;2;3;400;13000.0;4165.0;689.0
291;Departamento;Callao;3;2;1;126;1500.0;1000.0;150.0
292;Departamento;Punta Hermosa;2;1;1;70;2300.0;620.0;190.0
293;Departamento;Jesús María;3;2;1;94;1900.0;1300.0;198.0
294;Departamento;Ate;4;3;4;192;5000.0;2200.0;562.0
295;Departamento;San Borja;1;0;0;43;1600.0;452.0;242.0
296;Departamento;Ate;2;1;1;70;2200.0;780.0;
297;Departamento;Rímac;3;1;1;73;1200.0;520.0;
298;Departamento;San Borja;3;0;0;120;3000.0;1420.0;
299;Casa en condominio;Villa El Salvador;5;4;5;300;5000.0;1500.0;250.0
300;Departamento;La Punta;2;1;0;64;800.0;248.0;14.0
301;Departamento;San Borja;1;0;0;45;2800.0;450.0;30.0
302;Departamento;Punta Hermosa;2;0;0;110;2500.0;968.0;167.0
303;Departamento;Comas;4;3;3;433;37000.0;9800.0;
304;Departamento;Villa El Salvador;2;0;0;85;2700.0;800.0;1150.0
305;Departamento;San Bartolo;3;1;1;175;8000.0;1380.0;
306;Casa;Santa Rosa;2;0;0;70;1100.0;;
307;Departamento;Lince;2;1;0;68;1100.0;540.0;
308;Departamento;Breña;2;1;0;64;2500.0;520.0;
309;Departamento;San Borja;1;0;1;37;2500.0;447.0;20.0
310;Departamento;San Borja;4;2;2;240;10000.0;2000.0;700.0
311;Casa en condominio;Ate;4;3;2;188;6000.0;1022.0;
312;Departamento;Ate;3;2;2;137;12500.0;1850.0;271.0
313;Departamento;Ate;14;2;2;212;5000.0;1200.0;650.0
314;Departamento;El Agustino;2;1;0;65;1100.0;255.0;
315;Departamento;Ate;2;2;1;105;3000.0;1500.0;
316;Departamento;Ventanilla;2;1;0;70;1100.0;550.0;
317;Departamento;Punta Hermosa;4;3;4;600;23000.0;16864.0;3910.0
318;Departamento;La Perla;3;1;1;108;5000.0;1769.0;226.0
319;Departamento;Jesús María;2;1;2;85;2300.0;1350.0;125.0
320;Departamento;Lurín;1;0;0;45;1600.0;500.0;55.0
321;Habitación;San Borja;1;0;0;15;1100.0;600.0;
322;Departamento;Ate;3;2;3;160;7000.0;1087.0;455.0
323;Casa de villa;Comas;2;1;0;48;750.0;;
324;Departamento;Pueblo Libre;3;2;1;130;5000.0;1000.0;300.0
325;Departamento;Callao;3;2;1;100;2100.0;780.0;140.0
326;Departamento;Callao;3;2;3;180;5500.0;1200.0;318.0
327;Departamento;San Borja;3;0;0;80;2500.0;800.0;157.0
328;Casa en condominio;Ate;3;0;2;367;6000.0;510.0;423.0
329;Departamento;Jesús María;3;1;1;85;1900.0;450.0;112.0
330;Casa;Lurigancho;2;4;1;107;9500.0;;1091.0
331;Departamento;Ate;5;4;3;171;9000.0;2000.0;3500.0
332;Departamento;Pachacámac;1;0;0;42;2200.0;619.0;202.0
333;Departamento;Santa Anita;2;1;0;62;1000.0;600.0;38.0
334;Habitación;Rímac;1;0;0;25;1950.0;360.0;58.0
335;Departamento;Rímac;4;3;4;260;13500.0;3100.0;
336;Casa;Jesús María;4;4;2;367;12000.0;;653.0
337;Departamento;Mi Perú;2;0;0;65;1400.0;415.0;21.0
338;Departamento;Pueblo Libre;4;3;1;180;11000.0;2530.0;812.0
339;Departamento;San Borja;1;0;0;43;1800.0;639.0;76.0
340;Departamento;Pueblo Libre;2;1;1;80;2200.0;2600.0;420.0
341;Departamento;Villa El Salvador;2;1;0;57;2800.0;832.0;98.0
342;Departamento;Lince;3;1;1;98;1800.0;950.0;
343;Departamento;Lurigancho;3;1;2;170;6000.0;860.0;540.0
344;Departamento;Rímac;4;2;2;207;15500.0;6000.0;934.0
345;Departamento;Ate;4;4;4;518;38000.0;5004.0;1747.0
346;Departamento;Comas;1;0;1;50;2400.0;897.0;26.0
347;Habitación;San Borja;1;0;0;35;1700.0;400.0;55.0
348;Departamento;Jesús María;3;2;1;150;2500.0;1012.0;
349;Departamento;San Borja;2;0;0;65;2700.0;710.0;130.0
350;Departamento;Jesús María;4;3;2;300;4500.0;1500.0;580.0
351;Departamento;Jesús María;2;2;1;115;1900.0;661.0;
352;Casa de villa;Lince;3;1;0;100;2000.0;100.0;
353;Departamento;Jesús María;3;3;1;110;1500.0;873.0;
354;Casa;Chorrillos;12;5;0;500;18000.0;;1800.0
355;Departamento;Ate;4;3;4;304;13000.0;3800.0;1350.0
356;Casa en condominio;Ate;4;2;4;280;8500.0;750.0;620.0
357;Departamento;San Miguel;3;1;0;88;2300.0;790.0;885.0
358;Departamento;Comas;3;1;1;145;7200.0;2900.0;500.0
359;Casa;Lurín;10;0;10;300;15000.0;;220.0
360;Departamento;Santiago de Surco;1;0;0;53;2800.0;770.0;
361;Departamento;Comas;3;1;1;116;5000.0;1600.0;316.0
362;Departamento;San Miguel;3;1;0;116;2000.0;790.0;194.0
363;Departamento;Ventanilla;3;0;0;82;1200.0;664.0;86.0
364;Habitación;La Punta;1;0;1;26;850.0;321.0;29.0
365;Departamento;Ate;3;2;1;130;4800.0;1700.0;433.0
366;Departamento;Callao;3;1;1;90;1700.0;595.0;
367;Departamento;Villa El Salvador;2;1;0;68;2000.0;536.0;148.0
368;Departamento;San Borja;1;0;0;60;2800.0;620.0;128.0
369;Departamento;San Luis;2;1;0;53;1100.0;450.0;150.0
370;Departamento;Ventanilla;2;0;0;64;950.0;180.0;
371;Departamento;Lurigancho;3;1;1;130;6400.0;1500.0;
372;Departamento;Rímac;2;1;0;90;3500.0;1300.0;200.0
373;Departamento;Rímac;4;2;4;200;8500.0;2710.0;945.0
374;Departamento;San Miguel;1;1;1;84;2000.0;718.0;120.0
375;Habitación;Carmen de La Legua;1;0;0;20;485.0;;
376;Departamento;Villa El Salvador;1;0;0;30;1490.0;315.0;55.0
377;Casa;Punta Hermosa;4;0;4;1200;25000.0;;
378;Departamento;San Luis;2;0;0;79;1700.0;600.0;
379;Departamento;San Borja;1;1;0;150;3000.0;1200.0;390.0
380;Departamento;Ate;3;2;3;156;5500.0;2300.0;398.0
381;Departamento;Villa El Salvador;1;0;1;38;1450.0;690.0;55.0
382;Departamento;Chorrillos;2;0;0;115;2200.0;1045.0;190.0
383;Departamento;San Miguel;2;0;0;49;1800.0;180.0;
384;Departamento;Lince;2;1;1;80;1900.0;1350.0;100.0
385;Departamento;San Borja;2;0;0;120;3800.0;1000.0;197.0
386;Departamento;Ate;2;1;1;70;1800.0;681.0;120.0
387;Departamento;Chaclacayo;3;1;0;98;2800.0;390.0;
388;Departamento;Ate;2;1;1;70;3240.0;950.0;
389;Departamento;Villa El Salvador;2;1;0;90;3200.0;980.0;
390;Departamento;Comas;2;0;0;99;3300.0;920.0;
391;Departamento;San Borja;3;1;0;80;3100.0;700.0;1208.0
392;Departamento;San Borja;2;1;0;74;2600.0;1021.0;
393;Departamento;Breña;2;1;0;75;2900.0;926.0;90.0
394;Departamento;Ate;4;3;4;250;9500.0;2800.0;523.0
395;Departamento;Jesús María;2;1;1;80;1600.0;770.0;108.0
396;Departamento;Jesús María;3;4;1;217;3300.0;947.0;547.0
397;Departamento;Comas;4;1;3;250;12000.0;2300.0;1037.0
398;Casa;Lince;2;1;2;100;1500.0;;30.0
399;Departamento;Punta Hermosa;3;2;1;140;4700.0;1620.0;515.0
400;Departamento;Ate;4;3;2;260;7500.0;3550.0;350.0
401;Departamento;Punta Hermosa;2;0;0;85;2100.0;700.0;95.0
402;Departamento;Los Olivos;2;1;0;69;1900.0;600.0;70.0
403;Departamento;Callao;1;1;0;49;1050.0;580.0;36.0
404;Departamento;La Punta;2;1;0;56;1900.0;607.0;89.0
405;Casa;Villa El Salvador;2;1;0;70;1900.0;580.0;25.0
406;Cochera;Pachacámac;0;1;0;0;100.0;;
407;Departamento;Comas;4;3;4;480;39000.0;9400.0;
408;Departamento;Ate;4;3;3;180;7000.0;1935.0;449.0
409;Departamento;San Borja;2;0;0;81;3000.0;770.0;159.0
410;Departamento;Ate;2;1;1;88;2400.0;1313.0;
411;Departamento;Villa María del Triunfo;2;1;1;80;1100.0;650.0;
412;Casa en condominio;San Juan de Miraflores;2;0;1;100;1500.0;160.0;80.0
413;Departamento;Comas;3;3;3;169;9000.0;2300.0;886.0
414;Departamento;Villa El Salvador;4;2;2;423;12000.0;3795.0;1253.0
415;Departamento;Comas;2;0;0;67;900.0;320.0;
416;Departamento;Rímac;3;1;0;74;3300.0;700.0;83.0
417;Departamento;San Borja;2;0;0;110;2800.0;800.0;120.0
418;Departamento;San Bartolo;1;0;0;31;1140.0;420.0;24.0
419;Departamento;Jesús María;2;2;1;90;1500.0;720.0;199.0
420;Casa;Pucusana;5;3;0;260;7000.0;;163.0
